playerId,playerFullName,countryCode,clubName,inferredStartDate,inferredEndDate,inferredSeverity,inferredInjuryId
58e7cf7b-9c8d-4f19-8671-1344d3c975b7,Georges Mandjeck,FRA,Metz,2017-08-30,2017-12-13,SEVERE,755cd3c4-7b51-4445-a5ba-d02a672877e6
5211e08b-1933-404a-9ac1-aeb7aacb6f6a,Gerard Moreno,ESP,Espanyol,2021-08-30,2021-12-22,SEVERE,38592bbc-41e5-4ca6-bf40-d7448041f289
5211e08b-1933-404a-9ac1-aeb7aacb6f6a,Gerard Moreno,ESP,Villarreal,2021-08-30,2021-12-22,SEVERE,38592bbc-41e5-4ca6-bf40-d7448041f289
5211e08b-1933-404a-9ac1-aeb7aacb6f6a,Gerard Moreno,ESP,Espanyol,2024-08-30,2024-12-23,SEVERE,6d6a0f43-8a87-47f9-9393-c66344608d88
5211e08b-1933-404a-9ac1-aeb7aacb6f6a,Gerard Moreno,ESP,Villarreal,2024-08-30,2024-12-23,SEVERE,6d6a0f43-8a87-47f9-9393-c66344608d88
9097b1c3-8cb5-44be-b715-c3a08dc7b06d,Gerson,ITA,Fiorentina,2022-08-30,2023-02-10,SEVERE,64f43a4f-8806-4398-ab88-92c0f9242868
9097b1c3-8cb5-44be-b715-c3a08dc7b06d,Gerson,FRA,Marseille,2022-08-30,2023-02-10,SEVERE,64f43a4f-8806-4398-ab88-92c0f9242868
bfa8d9ff-1fb0-4c0a-a278-b30a2fcf5540,Giacomo Bonaventura,ITA,Milan,2018-08-30,2019-01-23,SEVERE,db2f13ba-7552-4f54-a5dd-1849d38455c6
bfa8d9ff-1fb0-4c0a-a278-b30a2fcf5540,Giacomo Bonaventura,ITA,Fiorentina,2018-08-30,2019-01-23,SEVERE,db2f13ba-7552-4f54-a5dd-1849d38455c6
48be95dc-2803-400e-932e-8f7b5c54e465,Giangiacomo Magnani,ITA,Hellas Verona,2024-08-30,2024-12-14,SEVERE,5632fd4b-af68-4db3-bb43-8645b64d23fe
094d0bc9-1c58-4105-8361-e5b2ee4b0b4a,Gianluca Caprari,ITA,Monza,2023-08-30,2024-02-12,SEVERE,a785855d-8b58-45ee-98fd-795cdfba02b2
094d0bc9-1c58-4105-8361-e5b2ee4b0b4a,Gianluca Caprari,ITA,Hellas Verona,2023-08-30,2024-02-12,SEVERE,a785855d-8b58-45ee-98fd-795cdfba02b2
094d0bc9-1c58-4105-8361-e5b2ee4b0b4a,Gianluca Caprari,ITA,Pescara,2023-08-30,2024-02-12,SEVERE,a785855d-8b58-45ee-98fd-795cdfba02b2
594b582c-ff3c-4920-8211-5a095553984a,Giorgio Scalvini,ITA,Atalanta,2024-08-30,2025-02-21,SEVERE,06297bbc-6a53-41f3-8a06-f891a34ae0b0
